"","ModelNumber","modelName","variable","effect","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC"
"68",16,"MAT Min Savanna rate vs rate","units","residual",0.598743210634656,0.538071566601136,0.660358189069503,3143.97434605611,NA
"69",17,"MAT Max Tundra rate vs rate","(Intercept)","fixed",0.205174790714462,0.0584812663437333,0.345529041049303,3400,0.00588235294117645
"70",17,"MAT Max Tundra rate vs rate","estimate","fixed",-0.520040957844996,-1.94450414296807,0.893802936916472,3440.74238291431,0.468823529411765
"71",17,"MAT Max Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.0544259054245372,0.00627502011853453,0.115757176170251,3400.00000000001,NA
"72",17,"MAT Max Tundra rate vs rate","units","residual",0.345896483644292,0.291507746691258,0.401705236468701,3400,NA
"73",18,"MAT Max Savanna rate vs rate","(Intercept)","fixed",0.389860372647833,0.21419840314411,0.573740469088079,3400,0.000588235294117556
"74",18,"MAT Max Savanna rate vs rate","estimate","fixed",-0.472916871077424,-2.24886771813908,1.26045528336545,4089.56810932136,0.592941176470588
"75",18,"MAT Max Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.160047878319644,0.0644121643467988,0.287908345616498,2733.87958890729,NA
"76",18,"MAT Max Savanna rate vs rate","units","residual",0.597409341200172,0.537118301971701,0.657897681553783,3421.42833296036,NA
"77",19,"MAP Min Tundra rate vs rate","(Intercept)","fixed",0.204968519065264,0.0769258181389887,0.338105964372517,3400.00000000001,0.00235294117647067
"78",19,"MAP Min Tundra rate vs rate","estimate","fixed",-0.167470623425418,-0.330124714460908,-0.00762907917669509,3400,0.0458823529411765
"79",19,"MAP Min Tundra rate vs rate","(Intercept):(Intercept).geo.coords","random",0.056879164904302,0.00876080028396038,0.119512874578781,3400,NA
"80",19,"MAP Min Tundra rate vs rate","units","residual",0.341554296437617,0.289634963986737,0.404061837989,3400,NA
"81",20,"MAP Min Savanna rate vs rate","(Intercept)","fixed",0.372474055502021,0.213118109793868,0.550809005421797,3400,0.000294117647058824
"82",20,"MAP Min Savanna rate vs rate","estimate","fixed",-0.469702697287677,-0.956026962405303,-0.00903211618424393,3400.00000000001,0.05
"83",20,"MAP Min Savanna rate vs rate","(Intercept):(Intercept).geo.coords","random",0.151465629278765,0.055643459133296,0.265300397554707,3121.33004615894,NA
"84",20,"MAP Min Savanna rate vs rate","units","residual",0.596779654505125,0.539986828263287,0.660402619823246,3400,NA
